PlayButtonText 开始游戏
PlayButtonTooltip 开始游戏
SurvivorsButtonText 角色选项
SurvivorsButtonTooltip 角色选项
ConfigurationButtonText 游戏设置
ConfigurationButtonTooltip 游戏设置
WorkshopButtonText 创意工坊
WorkshopButtonTooltip 创意工坊
ExitButtonText 退出菜单
ExitButtonTooltip 退出菜单
BackButtonText 返回
BackButtonTooltip 返回
NewsTooltip 点击此处发表评论或查看其他公告.

Curated_Workshop_Title 已采纳: {0}
Highlighted_Workshop_Title 热门: {0}
Featured_Workshop_Title 精选: {0}
Featured_Workshop_Dismiss 关闭
ReadMore_Link_On [展开]
ReadMore_Link_Off [折叠]
Featured_Workshop_Link 查看创意工坊
Featured_Workshop_Sub 订阅
Featured_Workshop_Unsub 取消订阅
Subscribe_Tooltip 订阅 {0}
Unsubscribe_Tooltip 取消订阅 {0}
Featured_Workshop_Stockpile_Link 查看 {0} 库存
News_Author {0} - {1}
News_Comments_Link 查看评论

Banned 因 {1} , 已被服务器封禁 {0}
Kicked 因 {0} , 已被服务器踢出
Whitelisted 服务器已启用白名单.
Password 请输入正确的服务器密码.
Full 服务器玩家/队列列表已满员.

# https://support.smartlydressedgames.com/hc/en-us/articles/12230991951124
Hash_Level 服务器正在使用的地图已被修改.

# https://support.smartlydressedgames.com/hc/en-us/articles/12233096287124
Hash_Assembly 服务器正在使用的代码已被修改.
 
# https://support.smartlydressedgames.com/hc/en-us/articles/20343153432468
Hash_Resources 服务器正在使用的资源已被修改. 请验证游戏文件完整性.

Version 服务器与客户端游戏版本不一致. 服务器: v{0} /客户端: v{1}
Pro_Server 服务器仅允许黄金账户加入.
Pro_Character 请选择一个有效的角色.

# https://support.smartlydressedgames.com/hc/en-us/articles/12112937823764
Pro_Desync 客户端与服务器的黄金账户验证存在分歧.

Pro_Appearance 请选择一个有效的表情, 发型, 胡子, 肤色和发色.
Auth_Verification 身份验证票证验证失败.
Auth_No_Steam 未连接至 Steam.
Auth_License_Expired 身份验证票证已过期.

# https://support.smartlydressedgames.com/hc/en-us/articles/12112937823764
Auth_VAC_Ban 已被禁止在已启用VAC保护服务器中游玩.

Auth_Elsewhere 已在其他服务器中游玩.

# https://support.smartlydressedgames.com/hc/en-us/articles/12233657269140
Auth_Timed_Out Steam 反作弊服务器无响应.

Auth_Used 身份验证票证已被使用.
Auth_No_User 未连接至账号.

# https://support.smartlydressedgames.com/hc/en-us/articles/12233962470548
Auth_Pub_Ban 已被禁止游玩多人游戏.

Auth_Network_Identity_Failure 服务器因重启或登录令牌变更导致验证 Steam ID 身份失败. 请刷新游戏服务器列表.

Auth_Econ_Serialize 经济体票证序列化失败.
Auth_Econ_Deserialize 经济体票证反序列化失败.
Auth_Econ_Verify 经济体票证验证失败.

# https://support.smartlydressedgames.com/hc/en-us/articles/12238777357716
Auth_Empty Steam 身份验证服务器无响应.

Already_Connected 已连接至服务器.
