Items 物品
Vehicles 载具
Zombies 僵尸
Animals 动物
Barricades 路障
Structures 结构
Players 玩家
Objects 对象
Events 事件
Gameplay 游戏机制

Spawn_Chance 生成概率 [0-1]
Respawn_Time 刷新时间
Unlocked_After_Seconds_In_Safezone (秒) 安全区自动解锁周期
Decay_Time 腐蚀时间
Damage_Multiplier (倍) 基础伤害
Armor_Multiplier (倍) 护甲
NonHeadshot_Armor_Multiplier (倍) 护甲 (未爆头)
Child_Explosion_Armor_Multiplier (倍) 护甲 (爆炸)
Backstab_Multiplier (倍) 背刺伤害
Armor_Lowtier_Multiplier (倍) 木制材料护甲
Armor_Hightier_Multiplier (倍) 铁制材料护甲
Gun_Lowcal_Damage_Multiplier (倍) 小口径枪械伤害
Gun_Highcal_Damage_Multiplier (倍) 大口径枪械伤害
Melee_Damage_Multiplier (倍) 近战伤害

Max_Instances_Tiny 迷你地图数量 (上限)
Max_Instances_Small 小型地图数量 (上限)
Max_Instances_Medium 中型地图数量 (上限)
Max_Instances_Large 大型地图数量 (上限)
Max_Instances_Insane 巨型地图数量 (上限)

Despawn_Dropped_Time 物品重新刷新时间
Despawn_Natural_Time 物品自然消失时间
Has_Durability 开启耐久

Quality_Full_Chance 满耐久概率 [0-1]
Quality_Multiplier (倍) 耐久

Gun_Bullets_Full_Chance 枪内子弹全满概率 [0-1]
Gun_Bullets_Multiplier (倍) 枪内子弹
Magazine_Bullets_Full_Chance 弹匣子弹全满概率 [0-1]
Magazine_Bullets_Multiplier (倍) 弹匣子弹
Crate_Bullets_Full_Chance 弹药箱子弹全满概率 [0-1]
Crate_Bullets_Multiplier (倍) 弹药箱内子弹

Loot_Chance 掉落概率 [0-1]
Crawler_Chance 爬行僵尸 [0-0.5]
Sprinter_Chance 疾跑僵尸 [0-0.5]
Flanker_Chance 隐形僵尸 [0-0.5]
Burner_Chance 火焰僵尸 [0-0.5]
Acid_Chance 酸液僵尸 [0-0.5]
Boss_Electric_Chance 雷电首领 [0-0.5]
Boss_Wind_Chance 地震首领 [0-0.5]
Boss_Fire_Chance 喷火首领 [0-0.5]
Spirit_Chance 透明僵尸 [0-0.5]
DL_Red_Volatile_Chance 红色夜魔 <消逝的光芒>
DL_Blue_Volatile_Chance 蓝色夜魔 <消逝的光芒>
Boss_Elver_Stomper_Chance 践踏者首领 <Elver>
Respawn_Day_Time 刷新间隔 (白昼)
Respawn_Night_Time 刷新间隔 (黑夜)
Respawn_Beacon_Time 刷新间隔 (尸潮)
Quest_Boss_Respawn_Interval 任务首领重生时间间隔
Beacon_Experience_Multiplier (倍) 尸潮信标经验奖励
Full_Moon_Experience_Multiplier (倍) 满月经验奖励
Min_Drops 普通僵尸掉落物奖励 (最小)
Max_Drops 普通僵尸掉落物奖励 (最大)
Min_Mega_Drops 巨型僵尸掉落物奖励 (最小)
Max_Mega_Drops 巨型僵尸掉落物奖励 (最大)
Min_Boss_Drops 僵尸首领掉落物奖励 (最小)
Max_Boss_Drops 僵尸首领掉落物奖励 (最大)
Slow_Movement 行动缓慢
Can_Stun 攻击眩晕
Weapons_Use_Player_Damage 使用武器攻击时降低为玩家普通攻击伤害
